"","Date","State","Confirmed"
"242","22/04/20","Odisha",82
"243","22/04/20","West Bengal",423
"244","23/04/20","Chhattisgarh",36
"245","23/04/20","Gujarat",2407
"246","23/04/20","Jharkhand",49
"247","23/04/20","Madhya Pradesh",1695
"248","23/04/20","Maharashtra",5652
"249","23/04/20","Odisha",83
"250","23/04/20","West Bengal",456
"251","24/04/20","Chhattisgarh",36
"252","24/04/20","Gujarat",2624
"253","24/04/20","Jharkhand",55
"254","24/04/20","Madhya Pradesh",1852
"255","24/04/20","Maharashtra",6430
"256","24/04/20","Odisha",90
"257","24/04/20","West Bengal",514
"258","25/04/20","Chhattisgarh",36
"259","25/04/20","Gujarat",2815
"260","25/04/20","Jharkhand",59
"261","25/04/20","Madhya Pradesh",1952
"262","25/04/20","Maharashtra",6817
"263","25/04/20","Odisha",94
"264","25/04/20","West Bengal",571
"265","26/04/20","Chhattisgarh",37
"266","26/04/20","Gujarat",3071
"267","26/04/20","Jharkhand",67
"268","26/04/20","Madhya Pradesh",2096
"269","26/04/20","Maharashtra",7628
"270","26/04/20","Odisha",103
"271","26/04/20","West Bengal",611
"272","27/04/20","Chhattisgarh",37
"273","27/04/20","Gujarat",3301
"274","27/04/20","Jharkhand",82
"275","27/04/20","Madhya Pradesh",2168
"276","27/04/20","Maharashtra",8068
"277","27/04/20","Odisha",108
"278","27/04/20","West Bengal",649
"279","28/04/20","Chhattisgarh",37
"280","28/04/20","Gujarat",3548
"281","28/04/20","Jharkhand",103
"282","28/04/20","Madhya Pradesh",2368
"283","28/04/20","Maharashtra",8590
"284","28/04/20","Odisha",118
"285","28/04/20","West Bengal",697
"286","29/04/20","Chhattisgarh",38
"287","29/04/20","Gujarat",3774
"288","29/04/20","Jharkhand",105
"289","29/04/20","Madhya Pradesh",2561
"290","29/04/20","Maharashtra",9318
"291","29/04/20","Odisha",119
"292","29/04/20","West Bengal",725
"293","30/04/20","Chhattisgarh",38
"294","30/04/20","Gujarat",4082
"295","30/04/20","Jharkhand",107
"296","30/04/20","Madhya Pradesh",2660
"297","30/04/20","Maharashtra",9915
"298","30/04/20","Odisha",128
"299","30/04/20","West Bengal",758
"300","01/05/20","Chhattisgarh",40
"301","01/05/20","Gujarat",4395
"302","01/05/20","Jharkhand",111
"303","01/05/20","Madhya Pradesh",2719
"304","01/05/20","Maharashtra",10498
"305","01/05/20","Odisha",143
"306","01/05/20","West Bengal",795
"307","02/05/20","Chhattisgarh",43
"308","02/05/20","Gujarat",4721
"309","02/05/20","Jharkhand",111
"310","02/05/20","Madhya Pradesh",2719
"311","02/05/20","Maharashtra",11506
"312","02/05/20","Odisha",149
"313","02/05/20","West Bengal",795
"314","03/05/20","Chhattisgarh",43
"315","03/05/20","Gujarat",5055
"316","03/05/20","Jharkhand",115
"317","03/05/20","Madhya Pradesh",2846
"318","03/05/20","Maharashtra",12296
"319","03/05/20","Odisha",160
"320","03/05/20","West Bengal",922
"321","04/05/20","Chhattisgarh",57
"322","04/05/20","Gujarat",5428
"323","04/05/20","Jharkhand",115
"324","04/05/20","Madhya Pradesh",2942
"325","04/05/20","Maharashtra",12974
"326","04/05/20","Odisha",163
"327","04/05/20","West Bengal",963
"328","05/05/20","Chhattisgarh",58
"329","05/05/20","Gujarat",5804
"330","05/05/20","Jharkhand",115
"331","05/05/20","Madhya Pradesh",3049
"332","05/05/20","Maharashtra",14541
"333","05/05/20","Odisha",170
"334","05/05/20","West Bengal",1259
"335","06/05/20","Chhattisgarh",59
"336","06/05/20","Gujarat",6245
"337","06/05/20","Jharkhand",125
"338","06/05/20","Madhya Pradesh",3049
"339","06/05/20","Maharashtra",15525
"340","06/05/20","Odisha",175
"341","06/05/20","West Bengal",1344
"342","07/05/20","Chhattisgarh",59
"343","07/05/20","Gujarat",6625
"344","07/05/20","Jharkhand",127
"345","07/05/20","Madhya Pradesh",3138
"346","07/05/20","Maharashtra",16758
"347","07/05/20","Odisha",185
"348","07/05/20","West Bengal",1456
"349","08/05/20","Chhattisgarh",59
"350","08/05/20","Gujarat",7012
"351","08/05/20","Jharkhand",132
"352","08/05/20","Madhya Pradesh",3252
"353","08/05/20","Maharashtra",17974
"354","08/05/20","Odisha",219
"355","08/05/20","West Bengal",1548
"356","09/05/20","Chhattisgarh",59
"357","09/05/20","Gujarat",7402
"358","09/05/20","Jharkhand",132
"359","09/05/20","Madhya Pradesh",3341
"360","09/05/20","Maharashtra",19063
"361","09/05/20","Odisha",271
"362","09/05/20","West Bengal",1678
"363","10/05/20","Chhattisgarh",59
"364","10/05/20","Gujarat",7796
"365","10/05/20","Jharkhand",156
"366","10/05/20","Madhya Pradesh",3614
